Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,Total Peajes,Eficiencia (km/l),TipoUnidad,Ruta Frecuente,Ruta
1859,3372993.42,66735457.731248,19.832149704918027,5584977,9741.669999999998,11.95084588553328,0.0,1.6557924385159342,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1860,147587.4,3068251.36815,20.95203793333333,337260,43896.020000000004,9.227739394384155,0.0,2.2851544237516213,Poca actividad,"CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/","CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/"
1861,1190908.25,23305133.507600002,19.613210522727268,808720,1200.0,28.818792051142548,0.0,0.6790783420973027,Poca actividad,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1862,3211783.56,62803604.439522,19.53053906451613,5321646,118648.70999999998,11.82383291739473,0.0,1.656913020627081,Alta actividad,"CUAUTITLAN IZCALLI,EM/Mex → SAN PEDRO GARZA GA,NX/Mex","CUAUTITLAN IZCALLI,EM/Mex → SAN PEDRO GARZA GA,NX/Mex"
1863,5057521.2,99094515.33564,19.600684909090912,2698542,66425.58999999998,36.746117320256644,0.0,0.5335700817230385,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1864,4837383.2,95024339.04444,19.787637939393935,1480116,41984.04,64.22896792173046,0.0,0.3059745194467951,Actividad media,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1865,209896.26,4242174.984978,20.627065749999993,664800,165072.78,6.62943406284296,0.0,3.167278921501507,Poca actividad,"CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/","CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/"
1866,4226766.72,82702736.32984,19.564167397727275,3161048,45075.64,26.177334849024756,0.0,0.747864315539988,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1868,58688.16,1142863.08944,19.490566666666666,71028,181910.69999999998,18.651430273131723,0.0,1.2102611497787628,Poca actividad,"MONTERREY,NX → MONTERREY,NX","MONTERREY,NX → MONTERREY,NX"
1869,2446003.41,49060069.368649,20.30526762686567,4757536,119748.93000000001,10.33724564536117,0.0,1.9450242712458032,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1870,3864558.9,76052098.810986,19.684564558139535,4028799,11104.91,18.879870582023575,0.0,1.0424990546786594,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1871,1255884.84,25083035.5136508,20.275581183673474,2497089,26076.05,10.055353078585025,0.0,1.9883104887228353,Actividad media,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1872,2391957.84,47519857.5753416,19.8813315882353,3567705,12710.119999999999,13.323009524425812,0.0,1.4915417572744512,Alta actividad,"TEXAS CITY,TX → APASEO EL ALTO,GJ","TEXAS CITY,TX → APASEO EL ALTO,GJ"
1873,2880776.8,57272458.658855,20.13816568627451,4155990,18075.04,13.785050902156886,0.0,1.4426629650724765,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1874,858699.92,16762582.737424,19.50027105555556,1936332,115531.8,8.71653959002072,0.0,2.2549577039671784,Actividad media,"CUAUTITLAN IZCALLI,EM/Mex → LEON,GJ","CUAUTITLAN IZCALLI,EM/Mex → LEON,GJ"
1875,2878573.36,58691727.886584,20.74475941269841,4717692,120613.87999999999,12.466337727554915,0.0,1.63889934700153,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1876,1915028.58,37718347.943064,19.688483166666668,2895690,51488.64,13.0434668707852,0.0,1.5120870937602404,Actividad media,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1877,4090458.15,81403496.36136,20.05066879166667,7518456,28296.14,10.830919606546876,0.0,1.83804740796578,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1878,3848118.4,76266324.65298,19.979236692307694,4809844,74768.34999999998,15.871843869152512,0.0,1.2499210003517565,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1879,3035678.8,59883291.40079,19.746954545454546,6478296,58269.799999999996,9.252674036627841,0.0,2.1340518634580183,Alta actividad,"CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/","CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/"
1880,2378439.95,47948539.50199,20.7509174516129,4762902,31775.62,10.073756529525486,0.0,2.0025319537707897,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1881,4427278.68,86999128.30818,19.76249604285714,6912010,131958.87,12.60575247694665,0.0,1.5612321924130605,Alta actividad,"CUAUTITLAN IZCALLI,EM/Mex → SANTA CATARINA,NX","CUAUTITLAN IZCALLI,EM/Mex → SANTA CATARINA,NX"
1882,1291968.43,26067070.82483788,20.597502033333335,3257220,188991.58000000002,8.060880875359318,0.0,2.521129715220673,Actividad media,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ","TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ"
1883,3787908.3,74946916.70649,19.853012903846135,4984824,37199.13,15.042480102906339,0.0,1.3159832829110463,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1884,11350222.41,221753081.284605,19.574125114285707,1806980,38497.9,122.74157942235388,0.0,0.1592021666824765,Actividad media,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1885,17639860.11,346288330.362969,19.612396064516137,1717121,10330.470000000001,201.67400016246322,0.0,0.09734323227578022,Actividad media,"TULTITLAN,EM → CUAUTITLAN,EM/","TULTITLAN,EM → CUAUTITLAN,EM/"
1886,2506619.52,49713668.47248,19.861151613333334,5761725,64849.170000000006,8.639516402202466,0.0,2.2986037386320204,Alta actividad,"TULTITLAN,EM → LA PAZ,BS/","TULTITLAN,EM → LA PAZ,BS/"
